category,storename,type,address,lot_address,postal_code,latitude,longitude,images
강남역 공원,논현까치공원,근린공원,서울 강남구 논현동 162-11,서울 강남구 논현동 162-11,135010,37.5123018,127.0294935,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTEyMDhfMTgz%2FMDAxNjM4OTAxNzE4NDgy.76Qo-vArP1r0JlWA6o4YZ01jECpvRcwJoNGp_SuDzIsg.CX6QlXhiwp_NqRMdZn4ny8v7AVO3sDjdc6FbmMa0uJMg.JPEG.pakkh6969%2F20211208%25A3%25DF012652.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA0MjZfMjky%2FMDAxNjE5NDQwNTM4MzY4.imb5MCtuKfOg10FppE1x50nNqCJXYxPxlZ0BZvlHhA4g.GKlFQWBLId5YFhAQwZe3Bc-587OQqAaiTyaHOoUk9qAg.JPEG.jhj8637%2F20210408_165931.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA0MjZfMTQw%2FMDAxNjE5NDQwNTc2ODQ1.9JlSBAvbnh0bJ1ufk-InKQGJWaagE8vCIEMQEvgj0xYg.Gqj--07FFMMD4siZePKRP2eK6hrmi9idRod7xQI808Ug.JPEG.jhj8637%2F20210410_150433.jpg""]"
강남역 공원,싸리고개공원,근린공원,서울 강남구 도곡동 550,서울 강남구 도곡동 550,135270,37.4878395,127.0438569,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA1MTlfMjI4%2FMDAxNzE2MTI1MDc5MTU2.m8bpqN9j-QhxuCctSGvJj25ga8cT-hOVNEeR7sp3k_cg.F1johYyNk4OiIAzldUg8IJ8R-AxW2Nsr4nbsOyiUMV4g.JPEG%2F30A69976-A535-4055-A28C-0EFE5F6DA036.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA0MjhfMjEg%2FMDAxNzE0MjY0Mzg2Njgy.9iJc-Etbcf1xEZvnPBkxcSNKeKDjYPGdjok0m_qgD6Eg.DJCItCBqHzfCdOJrE_LaoQZlWLNvlheSpItKAVKJwdQg.JPEG%2FNotes_240426_211856_050.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA0MjhfMjE2%2FMDAxNzE0MjY0MzkwMDE5.A1jC584DZa3P37UXULZVdQyQZWH6m6Mhx1t-AS9mQz8g.3k4jOgxyxXqBclNWNDbupxWBlDHok6Ijf3ARNl9A8iAg.JPEG%2FNotes_240426_211900_cb8.jpg.jpg""]"
강남역 공원,충현1공원,근린공원,서울 강남구 역삼동 666-2,서울 강남구 역삼동 666-2,135080,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18791086%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340175085%26md%3Dxx2P59KStvKnifs%252FlTi99s4E0fc%253D""]"
강남역 공원,언구비공원,근린공원,서울 서초구 반포동 720,서울 서초구 반포동 720,137040,37.50312,127.0014,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzEyMTFfMTE1%2FMDAxNzAyMjY5Nzc0NzY3.EiryfUtjVICmEoFgTbA52Gn3XvWyBSFwGIqChFC-qi0g.owNVp85QqFNl8pjA9hAozdy-TfdsVuFnf4c5sRh1kGYg.JPEG%2F20231211_093439.jpg.jpg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAzMDhfMjMx%2FMDAxNzA5ODY5OTY0MTQ3.sYHoSJ6ee1_W3tckrGm_bFndfsbOAudS1-DjMkami2og.9p0SXNIHeutoO9rn34rt50L_yECmjjswG2QXHS8Carwg.JPEG%2F20240306_155451.jpg.jpg""]"
강남역 공원,논현목련공원,근린공원,서울 강남구 논현동 137-18,서울 강남구 논현동 137-18,135010,37.5123018,127.0294935,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18843764%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340189834%26md%3DF9MEAoXd40hWoLhnA3Td7Ye3Wgo%253D""]"
강남역 공원,개나리공원,근린공원,서울 강남구 논현로123길 19,논현동 150-5,06115,37.4031099,126.7261793,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18839674%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340197194%26md%3DtnAAyfEw9QbfFfAhqwAaZCePOW8%253D""]"
강남역 공원,충현2공원,근린공원,서울 강남구 역삼동 663-19,서울 강남구 역삼동 663-19,135080,37.49988,127.03856,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18797940%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340204389%26md%3DiWwr6OGwcY5uRpMQRIzQY9Llxlw%253D""]"
강남역 공원,논현은행나무공원,근린공원,서울 강남구 논현동 47-13,서울 강남구 논현동 47-13,135010,37.5123018,127.0294935,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18844342%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340211967%26md%3DFWH5TL8TXN2umxXqSNnxHdIL6uo%253D""]"
강남역 공원,싸리재공원,근린공원,서울 서초구 잠원동 30-10,서울 서초구 잠원동 30-10,137904,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18757201%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340219479%26md%3D0imCxHFoqtvgTpqh9KKNJonju80%253D""]"
논현역 공원,학동공원,"도시,테마공원",서울 강남구 강남대로140길 47,논현동 26,06042,37.5097265,127.0234579,[]
논현역 공원,신동근린공원,근린공원,서울 서초구 잠원동 58-14,서울 서초구 잠원동 58-14,137907,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18757431%2F0%3Fwidth%3D800%26height%3D400%26msgpad%3D1729340321939%26md%3Dyo2x0pp%252F1lZL%252F0ic37ctzB8x5WU%253D""]"
논현역 공원,명주근린공원,근린공원,서울 서초구 잠원동 50-4,서울 서초구 잠원동 50-4,137906,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MzBfNDMg%2FMDAxNjkzNDAwNDk4ODc3.Om7allFSriDrC2MZyeYYiuclFxHmBhL_4aozOhYQT6gg.fb2mk3s-i5uFJsA0ka_qkG8X0dH0nOY76g8iscnEDP0g.JPEG%2F1B287936-16F1-43CA-9DDD-451BAF8E91FC.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MzBfNTEg%2FMDAxNjkzNDAwNDk5MDk0.Emk_ZSB4tlWVWDL274ATrDmr_CxZaK7iwnncCXMjYfUg.uEPQiQKx0rclMgiMXdUhDKQBD5c2855ZKMcvwKm2Bbkg.JPEG%2F65571C6E-D9FF-467F-9FA8-9096832597EB.jpeg"", ""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MzBfMjUg%2FMDAxNjkzNDAwNDk4OTE0.VXvM2S5176ArQgH2dFSTNB7AWbDkT_N_lCl0S9hZDQ0g.-GvQkwOp9MVDBadF44K09mkS-TEh339tRYGbVIXG3ycg.JPEG%2FD1F1B5B6-9C53-4B2E-B337-67F5FD61396B.jpeg""]"
논현역 공원,잠원소공원,근린공원,서울 서초구 잠원동 158-1,서울 서초구 잠원동 158-1,,37.518254400000004,127.01240284968915,"[""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230513_52%2F1683908952421DeFLe_JPEG%2FIMG_0184.jpeg""]"
